구,pm10,pm25,so2,co,o3,no2,dateTime
계양구,46,28,0.003,0.7,0.055,0.011,2019-08-21 16:00
남구,42,36,0.004,0.5,0.066,0.014,2019-08-21 16:00
남동구,43,29,0.004,0.5,0.072,0.014,2019-08-21 16:00
동구,53,39,0.003,0.5,0.060,0.028,2019-08-21 16:00
부평구,0,0,0,0,0,0,2019-08-21 16:00
서구,46,33,0.004,0.5,0.066,0.012,2019-08-21 16:00
연수구,47,37,0.005,0.5,0.086,0.013,2019-08-21 16:00
중구,44,32,0.010,0.5,0.074,0.018,2019-08-21 16:00
